"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=138060","ACCT 502 - Registration for Use of Facilities","Required for the student not otherwise registered during any semester when student uses university facilities and/or faculty time before degree is completed."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=142319","ACCT 504 - Analytics and Disruptive Technologies I","Focuses on foundational data analysis methodologies and disruptive information technologies relevant to business processes and financial and organizational decision-making. Cases, hands-on projects, and real-world activities are applied to enhance learning."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=141129","ACCT 505 - Financial Accounting I","Understand financial accounting principles, analyze financial statements of U.S. Public companies, and interpret related information, including financial statement notes. Emphasis on assessing company liquidity, profitability, asset management, and capital structure."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=141130","ACCT 506 - Managerial Accounting I","Understand the methods and techniques used by managers to solve business problems using accounting data and to plan and assess business operations."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=138061","ACCT 507 - Financial Reporting Research and Contemporary Issues","Theory and practice of contemporary financial reporting issues are covered with an emphasis on researching the authoritative accounting literature. Specific contemporary issues covered vary each semester."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=141466","ACCT 508 - Business Combinations","Application of accounting theory to business combinations and related topics, including mergers and acquisitions, equity investments, and foreign currency issues."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=141667","ACCT 509 - Analytics and Disruptive Technologies II","Focuses on advanced data analysis methodologies and disruptive information technologies relevant to business processes and financial and organizational decision-making. Cases, hands-on projects, and real-world activities are applied to enhance learning."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=138062","ACCT 518 - Professional Standards","Basic standards and contemporary issues relevant to assurance providers. Actual practice cases are used to illustrate application."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=138063","ACCT 519 - Seminar in Business Risk and Assurance Methodology","Business risk and emerging methodology used by assurance providers."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=138064","ACCT 521 - Governmental, Not for Profit, and Management Accounting","Accounting principles and reporting models for governmental and not for profit organizations. Uses of management accounting information in decision making and performance evaluation."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=141668","ACCT 522 - Valuation","Focus on business and asset valuation theory and application in financial reporting, investment, and taxation contexts."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=141669","ACCT 523 - Valuation II","Focus is on advanced valuation topics such as real estate, private firms, distressed firms, financial firms, the valuation of contingent claims (options, derivatives, futures, etc.), and managerial considerations to valuation such as valuation creation."
"https://catalog.utk.edu/preview_course_nopop.php?catoid=27&coid=138065","ACCT 530 - Tax Research, Accounting Practice, and Procedures","Methods of researching tax issues within the federal tax system with emphasis on Internet-based research tools. Tax accounting periods and methods. Tax procedures for dealing with the Internal Revenue Service. Tax practice standards and ethical concerns."
